,address,lat,long
1040,104 WOODLANDS ST 13,1.436465871,103.7815769
5880,104A ANG MO KIO ST 11,1.371827009,103.8388037
9608,104A CANBERRA ST,1.450352258,103.8322624
7174,104A DEPOT RD,1.280455613,103.8123177
7932,104A EDGEFIELD PLAINS,1.396805705,103.9050542
5957,104B ANG MO KIO ST 11,1.371511514,103.8384588
9590,104B CANBERRA ST,1.450074217,103.831377
7215,104B DEPOT RD,1.28049144,103.8121008
7957,104B EDGEFIELD PLAINS,1.396608862,103.9053038
9596,104C CANBERRA ST,1.449709995,103.831776
9589,104D CANBERRA ST,1.449856324,103.832367
3240,105 ALJUNIED CRES,1.319468621,103.8827515
84,105 ANG MO KIO AVE 4,1.372313283,103.8376011
135,105 BEDOK NTH AVE 4,1.333722809,103.9365177
1164,105 BEDOK RESERVOIR RD,1.329144379,103.9091128
2961,105 BISHAN ST 12,1.345894936,103.8473653
1208,105 BT BATOK CTRL,1.348572654,103.7471562
1589,105 BT PURMEI RD,1.272483013,103.824703
7398,105 CLEMENTI ST 12,1.32271179,103.7698881
1221,105 DEPOT RD,1.28089298,103.8123553
3621,105 GANGSA RD,1.378312421,103.7677633
320,105 HENDERSON CRES,1.290214202,103.8223568
1371,105 JLN RAJAH,1.3285791,103.8538725
5255,105 JURONG EAST ST 13,1.337387468,103.7385276
4541,105 LENGKONG TIGA,1.325648315,103.9101122
4269,105 PASIR RIS ST 12,1.368439783,103.9575394
1459,105 POTONG PASIR AVE 1,1.334414606,103.8686943
6900,105 RIVERVALE WALK,1.382156131,103.9007119
854,105 SERANGOON NTH AVE 1,1.370247459,103.870226
3937,105 SIMEI ST 1,1.340924594,103.9507425
2711,105 TAMPINES ST 11,1.348093125,103.9471776
4249,105 TECK WHYE LANE,1.37765002,103.7529943
1363,105 TOWNER RD,1.320813043,103.8613467
1830,105 WOODLANDS ST 13,1.436844762,103.7815791
9493,105A DEPOT RD,1.281071165,103.8114057
7738,105A EDGEFIELD PLAINS,1.396941332,103.9057295
7933,105B EDGEFIELD PLAINS,1.397206464,103.9060023
7982,105C EDGEFIELD PLAINS,1.397672035,103.9055988
7897,105D EDGEFIELD PLAINS,1.397175309,103.9052296
504,106 ALJUNIED CRES,1.31905495,103.8829009
1509,106 ANG MO KIO AVE 4,1.371933703,103.8374861
8122,106 BEDOK NTH AVE 4,1.33445895,103.9370871
1557,106 BEDOK RESERVOIR RD,1.329501522,103.9093817
2741,106 BISHAN ST 12,1.346100701,103.8478472
2123,106 BT BATOK CTRL,1.348222309,103.7471885
