,town_geocode
199,"('1.32716150771949', '103.936824833587')"
200,"('1.32775288998395', '103.936709340476')"
201,"('1.3269699402053', '103.93585007622')"
202,"('1.32756257230307', '103.93573462699')"
203,"('1.32964201790706', '103.938821071117')"
204,"('1.33295683726302', '103.938220862136')"
205,"('1.32332667400534', '103.940030188552')"
206,"('1.32868929343533', '103.928893754255')"
207,"('1.32910888380153', '103.92773420389')"
208,"('1.33298071677208', '103.93259903289')"
209,"('1.33340011898402', '103.932519442702')"
210,"('1.33108906602956', '103.929204536012')"
211,"('1.33386999449984', '103.94205674836')"
212,"('1.33288899767094', '103.94130973733')"
213,"('1.32834668503077', '103.925654810377')"
214,"('1.32937492395032', '103.933926939087')"
215,"('1.32979984749858', '103.933844368582')"
216,"('1.33033659434823', '103.923223544145')"
217,"('1.33033113628205', '103.925432072872')"
218,"('1.33503645745879', '103.919311961318')"
219,"('1.33546649823112', '103.919288377804')"
220,"('1.3340607503551', '103.916898741089')"
221,"('1.33631180600308', '103.922392167199')"
222,"('1.33183921459218', '103.912364855077')"
223,"('1.32510871928237', '103.920738188884')"
224,"('1.32635040550492', '103.920064202822')"
225,"('1.32030892324763', '103.946089973664')"
226,"('1.33182838179324', '103.933338253415')"
227,"('1.32757551222487', '103.930482353534')"
228,"('1.3355737307958', '103.923820023145')"
229,"('1.33189327383579', '103.917026960083')"
230,"('1.32934898685946', '103.911583237057')"
231,"('1.33000183975836', '103.912464022386')"
232,"('1.33023693207314', '103.913508109392')"
233,"('1.32969408806205', '103.910490219171')"
234,"('1.32796879176302', '103.922716018139')"
235,"('1.33663699329345', '103.928207774481')"
236,"('1.32486087785589', '103.942554038061')"
237,"('1.32036659168877', '103.943667906986')"
238,"('1.32301474306803', '103.938165236776')"
239,"('1.33145574028188', '103.935458644142')"
240,"('1.32997311186222', '103.9375717024')"
241,"('1.33043385999052', '103.937481669683')"
242,"('1.33326478123569', '103.940334868697')"
243,"('1.32883066193996', '103.935509731277')"
244,"('1.32941001130625', '103.935397269548')"
245,"('1.33783795176833', '103.924973671246')"
246,"('1.33764586553964', '103.928990816937')"
247,"('1.3572844410824', '103.839396679952')"
248,"('1.35518696986305', '103.836337992513')"
249,"('1.35091296258284', '103.837585157698')"
250,"('1.35012170474224', '103.837942388222')"
251,"('1.35058252902296', '103.837846846026')"
252,"('1.35085167873462', '103.838679123356')"
253,"('1.34888490439686', '103.742035794953')"
254,"('1.34846915807481', '103.742050806952')"
255,"('1.34771697477219', '103.742831711054')"
256,"('1.3463440745148', '103.741742087315')"
257,"('1.35106126001126', '103.745857351625')"
258,"('1.35185612872026', '103.746076774467')"
259,"('1.34712172862216', '103.750057276189')"
260,"('1.35025884075015', '103.756604724025')"
261,"('1.35127411954665', '103.758871467713')"
262,4 HILLVIEW AVEunavailable
263,6 HILLVIEW AVEunavailable
264,2 HILLVIEW AVEunavailable
265,"('1.34966890869827', '103.744083499088')"
266,"('1.35044711973729', '103.744471903926')"
267,"('1.35159086987043', '103.74450960649')"
268,"('1.3503764354559', '103.74390902286')"
269,"('1.34997305498668', '103.743724852615')"
270,"('1.34556402157015', '103.743821531821')"
271,"('1.34555792527722', '103.742841014483')"
272,"('1.34865945802076', '103.753794578776')"
273,"('1.34838399787614', '103.753520312233')"
274,"('1.34720729813155', '103.754999726682')"
275,"('1.34918269764742', '103.757239164878')"
276,"('1.34962866452512', '103.746381073293')"
277,"('1.34883637169503', '103.745173408163')"
278,"('1.34814949552612', '103.742658130106')"
279,"('1.34660733553492', '103.740909286964')"
280,"('1.34731985631578', '103.741974986591')"
281,"('1.35142975219106', '103.746030739669')"
282,"('1.34755865555388', '103.74988715048')"
283,"('1.34548843030138', '103.748737963222')"
284,"('1.35125231918218', '103.744795017835')"
285,"('1.34623774673934', '103.743824246873')"
286,"('1.34848615466343', '103.752597900148')"
287,"('1.35141970002657', '103.747499423763')"
288,"('1.35817033436975', '103.748118653062')"
289,"('1.3471050066434', '103.753638622774')"
290,"('1.34918319745272', '103.746566795213')"
291,"('1.34996555858187', '103.74714214948')"
292,"('1.34840644346954', '103.745994934101')"
293,"('1.34822368204242', '103.748034526478')"
294,"('1.34801554533173', '103.753397257075')"
295,"('1.34747562371947', '103.753690953671')"
296,"('1.34729998285678', '103.75289444646')"
297,"('1.3510594273469', '103.747712277505')"
298,"('1.35162557081969', '103.748011382648')"
299,"('1.35000417984867', '103.742860806106')"
300,"('1.35076586646897', '103.74385553747')"
301,"('1.35044171803071', '103.743212010475')"
302,33 TAMAN HO SWEEunavailable
303,"('1.27836137310785', '103.819384010497')"
304,"('1.2890578915448', '103.827513018252')"
305,"('1.27140883340015', '103.810887524155')"
306,"('1.27169061066277', '103.809852257535')"
307,"('1.28131574987693', '103.807861854014')"
308,"('1.28138753916039', '103.809362548941')"
309,"('1.2709187086214', '103.822685388438')"
310,"('1.27873808127932', '103.828304288385')"
311,"('1.27955093259631', '103.82740093837')"
312,"('1.28754332229134', '103.821335072268')"
313,"('1.29113483646901', '103.826764453591')"
314,"('1.29130442807028', '103.827447793798')"
315,"('1.28264675199072', '103.823327111496')"
316,"('1.28458712798457', '103.824360319186')"
317,"('1.28342247684697', '103.821068227228')"
318,114 BT MERAH VIEWunavailable
319,"('1.27872402905423', '103.819220384802')"
320,"('1.29021420176947', '103.822356844711')"
321,"('1.27718546024846', '103.819516181006')"
322,"('1.27779539068994', '103.819341303524')"
323,"('1.27790984987633', '103.822535848245')"
324,"('1.27805365232333', '103.821504615515')"
325,"('1.2781594645971', '103.820475315204')"
326,"('1.2866292132996', '103.80686187976')"
327,"('1.28644157642074', '103.808286977232')"
328,"('1.27922008833835', '103.825441382185')"
329,"('1.2717673800708', '103.82662196779')"
330,"('1.2729893703256', '103.825626826099')"
331,"('1.2752454314411', '103.811106662751')"
332,"('1.27483128151468', '103.810941362052')"
333,"('1.27607895768865', '103.812157206469')"
334,"('1.27396036035569', '103.812149525435')"
335,"('1.27489641713898', '103.808938738993')"
336,"('1.27714559744846', '103.828738908605')"
337,"('1.27704241157112', '103.839265036858')"
338,"('1.27721730057752', '103.838703998309')"
339,"('1.27784876576774', '103.830811459909')"
340,18 KG BAHRU HILLunavailable
